"species","year","country","mean"
"Aeshna_cyanea",2019,"Finland",0.00676
"Aeshna_cyanea",2019,"France",0.20133
"Aeshna_cyanea",2019,"Ireland",0
"Aeshna_cyanea",2019,"Isle of Man",0
"Aeshna_cyanea",2019,"Italy",0.10105
"Aeshna_cyanea",2019,"Luxembourg",0.32254
"Aeshna_cyanea",2019,"Netherlands",0.28876
"Aeshna_cyanea",2019,"Portugal",0.08893
"Aeshna_cyanea",2019,"Slovenia",0.25643
"Aeshna_cyanea",2019,"Spain",0.03544
"Aeshna_cyanea",2019,"Sweden",0.06621
"Aeshna_cyanea",2019,"Switzerland",0.39183
"Aeshna_cyanea",2019,"United Kingdom",0.26045
"Aeshna_cyanea",2019,"All",0.12545
"Aeshna_cyanea",2020,"Austria",0.25898
"Aeshna_cyanea",2020,"Belgium",0.38743
"Aeshna_cyanea",2020,"Cyprus",0
"Aeshna_cyanea",2020,"Czechia",0.29323
"Aeshna_cyanea",2020,"Denmark",0.26214
"Aeshna_cyanea",2020,"Finland",0.03082
"Aeshna_cyanea",2020,"France",0.16553
"Aeshna_cyanea",2020,"Ireland",0.00293
"Aeshna_cyanea",2020,"Isle of Man",0
"Aeshna_cyanea",2020,"Italy",0.10798
"Aeshna_cyanea",2020,"Luxembourg",0.38875
"Aeshna_cyanea",2020,"Netherlands",0.35297
"Aeshna_cyanea",2020,"Portugal",0.04549
"Aeshna_cyanea",2020,"Slovenia",0.32963
"Aeshna_cyanea",2020,"Spain",0.04113
"Aeshna_cyanea",2020,"Sweden",0.09645
"Aeshna_cyanea",2020,"Switzerland",0.39218
"Aeshna_cyanea",2020,"United Kingdom",0.30101
"Aeshna_cyanea",2020,"All",0.13754
"Aeshna_cyanea",2021,"Austria",0.24153
"Aeshna_cyanea",2021,"Belgium",0.39434
"Aeshna_cyanea",2021,"Cyprus",0
"Aeshna_cyanea",2021,"Czechia",0.31284
"Aeshna_cyanea",2021,"Denmark",0.24655
"Aeshna_cyanea",2021,"Finland",0.03555
"Aeshna_cyanea",2021,"France",0.18564
"Aeshna_cyanea",2021,"Ireland",0
"Aeshna_cyanea",2021,"Isle of Man",0
"Aeshna_cyanea",2021,"Italy",0.10032
"Aeshna_cyanea",2021,"Luxembourg",0.35118
"Aeshna_cyanea",2021,"Netherlands",0.34557
"Aeshna_cyanea",2021,"Portugal",0.05384
"Aeshna_cyanea",2021,"Slovenia",0.32599
"Aeshna_cyanea",2021,"Spain",0.04283
"Aeshna_cyanea",2021,"Sweden",0.09026
"Aeshna_cyanea",2021,"Switzerland",0.37634
"Aeshna_cyanea",2021,"United Kingdom",0.24601
"Aeshna_cyanea",2021,"All",0.13544
"Aeshna_cyanea",2022,"Austria",0.30502
"Aeshna_cyanea",2022,"Belgium",0.41044
"Aeshna_cyanea",2022,"Cyprus",0
"Aeshna_cyanea",2022,"Czechia",0.32061
"Aeshna_cyanea",2022,"Denmark",0.32034
"Aeshna_cyanea",2022,"Finland",0.02459
"Aeshna_cyanea",2022,"France",0.19847
"Aeshna_cyanea",2022,"Ireland",0
"Aeshna_cyanea",2022,"Isle of Man",0
"Aeshna_cyanea",2022,"Italy",0.10199
"Aeshna_cyanea",2022,"Luxembourg",0.34635
"Aeshna_cyanea",2022,"Netherlands",0.37244
"Aeshna_cyanea",2022,"Portugal",0.036
"Aeshna_cyanea",2022,"Slovenia",0.42372
"Aeshna_cyanea",2022,"Spain",0.03274
